DATE,dow_jones_transportation_avg
2021/7/1,15077.58
2021/7/2,15036.23
2021/7/3,15036.23
2021/7/4,15036.23
2021/7/5,15036.23
2021/7/6,14884.99
2021/7/7,14965.66
2021/7/8,14475.22
2021/7/9,14842.77
2021/7/10,14842.77
2021/7/11,14842.77
2021/7/12,14809.52
2021/7/13,14674.62
2021/7/14,14689.2
2021/7/15,14696.17
2021/7/16,14491.91
2021/7/17,14491.91
2021/7/18,14491.91
2021/7/19,14264.26
2021/7/20,14548.31
2021/7/21,14689.77
2021/7/22,14654.64
2021/7/23,14756.07
2021/7/24,14756.07
2021/7/25,14756.07
2021/7/26,14772.7
2021/7/27,14446.56
2021/7/28,14359.8
2021/7/29,14473.41
2021/7/30,14460.8
2021/8/1,14460.8
2021/8/2,14376.86
2021/8/3,14586.01
2021/8/4,14243.68
2021/8/5,14422.91
2021/8/6,14502.32
2021/8/7,14502.32
2021/8/8,14502.32
2021/8/9,14333.58
2021/8/10,14601.75
2021/8/11,14867.42
2021/8/12,14900.48
2021/8/13,14927.58
2021/8/14,14927.58
2021/8/15,14927.58
2021/8/16,14986.8
2021/8/17,14825.14
2021/8/18,14704.26
2021/8/19,14520.14
2021/8/20,14554.71
2021/8/21,14554.71
2021/8/22,14554.71
2021/8/23,14691.71
2021/8/24,14724.02
2021/8/25,14826.59
2021/8/26,14723.71
2021/8/27,14905
2021/8/28,14905
2021/8/29,14905
2021/8/30,14836
2021/8/31,14661.48
2021/9/1,14751.62
2021/9/2,14910.52
2021/9/3,14751.62
2021/9/4,14751.62
2021/9/5,14751.62
2021/9/6,14751.62
2021/9/7,14649.12
2021/9/8,14597.43
2021/9/9,14442.54
2021/9/10,14366.89
2021/9/11,14366.89
2021/9/12,14366.89
2021/9/13,14448.56
2021/9/14,14285.46
2021/9/15,14420.33
2021/9/16,14455.72
2021/9/17,14267.96
2021/9/18,14267.96
2021/9/19,14267.96
2021/9/20,14096.07
2021/9/21,14067.97
2021/9/22,14000.78
2021/9/23,14234.4
2021/9/24,14343.49
2021/9/25,14343.49
2021/9/26,14343.49
2021/9/27,14473.72
2021/9/28,14321.22
2021/9/29,14243.49
2021/9/30,14002.42
2021/10/1,14250.71
2021/10/2,14250.71
2021/10/3,14250.71
2021/10/4,14210
2021/10/5,14461.74
2021/10/6,14547.49
2021/10/7,14509.79
2021/10/8,14640.46
2021/10/9,14640.46
2021/10/10,14640.46
2021/10/11,14588.96
2021/10/12,14723.52
2021/10/13,14710.53
2021/10/14,14943.39
2021/10/15,15190.68
2021/10/16,15190.68
2021/10/17,15190.68
2021/10/18,15282.52
2021/10/19,15304.48
2021/10/20,15461.68
2021/10/21,15617.13
2021/10/22,15771.95
2021/10/23,15771.95
2021/10/24,15771.95
2021/10/25,15874.27
2021/10/26,15936.69
2021/10/27,15723.52
2021/10/28,15921.69
2021/10/29,15906.58
2021/10/30,15906.58
2021/10/31,15906.58
2021/11/1,15943.09
2021/11/2,17039.38
2021/11/3,16860.98
2021/11/4,16733.13
2021/11/5,16843.98
2021/11/6,16843.98
2021/11/7,16843.98
2021/11/8,16890.4
2021/11/9,16655.47
2021/11/10,16588.03
2021/11/11,16708.48
2021/11/12,16759.85
2021/11/13,16759.85
2021/11/14,16759.85
2021/11/15,16779.68
