DATE,uncertainty
2021-07-01,82.66000
2021-07-02,133.09000
2021-07-03,82.15000
2021-07-04,160.07000
2021-07-05,144.78000
2021-07-06,199.58000
2021-07-07,57.23000
2021-07-08,67.69000
2021-07-09,84.30000
2021-07-10,113.60000
2021-07-11,118.92000
2021-07-12,144.11000
2021-07-13,192.35000
2021-07-14,98.68000
2021-07-15,153.82000
2021-07-16,140.71000
2021-07-17,126.48000
2021-07-18,216.59000
2021-07-19,103.99000
2021-07-20,130.37000
2021-07-21,185.19000
2021-07-22,91.10000
2021-07-23,138.66000
2021-07-24,89.31000
2021-07-25,170.04000
2021-07-26,125.45000
2021-07-27,132.55000
2021-07-28,152.66000
2021-07-29,144.40000
2021-07-30,133.44000
2021-07-31,116.35000
2021-08-01,125.09000
2021-08-02,124.58000
2021-08-03,77.81000
2021-08-04,67.39000
2021-08-05,179.01000
2021-08-06,107.12000
2021-08-07,57.90000
2021-08-08,241.48000
2021-08-09,134.96000
2021-08-10,399.87000
2021-08-11,96.07000
2021-08-12,90.39000
2021-08-13,101.40000
2021-08-14,95.63000
2021-08-15,91.76000
2021-08-16,131.18000
2021-08-17,113.72000
2021-08-18,113.23000
2021-08-19,78.58000
2021-08-20,85.35000
2021-08-21,70.76000
2021-08-22,304.68000
2021-08-23,177.96000
2021-08-24,86.77000
2021-08-25,74.18000
2021-08-26,54.90000
2021-08-27,69.52000
2021-08-28,147.47000
2021-08-29,105.19000
2021-08-30,77.75000
2021-08-31,166.77000
2021-09-01,88.74000
2021-09-02,72.75000
2021-09-03,88.32000
2021-09-04,78.80000
2021-09-05,229.72000
2021-09-06,222.33000
2021-09-07,165.86000
2021-09-08,118.66000
2021-09-09,56.89000
2021-09-10,72.22000
2021-09-11,96.32000
2021-09-12,152.30000
2021-09-13,209.02000
2021-09-14,135.76000
2021-09-15,106.93000
2021-09-16,44.76000
2021-09-17,83.45000
2021-09-18,63.85000
2021-09-19,91.66000
2021-09-20,159.31000
2021-09-21,196.12000
2021-09-22,99.06000
2021-09-23,70.69000
2021-09-24,87.12000
2021-09-25,82.86000
2021-09-26,108.79000
2021-09-27,243.51000
2021-09-28,126.30000
2021-09-29,105.25000
2021-09-30,143.37000
2021-10-01,89.27000
2021-10-02,94.54000
2021-10-03,166.41000
2021-10-04,148.46000
2021-10-05,97.38000
2021-10-06,146.43000
2021-10-07,102.51000
2021-10-08,97.02000
2021-10-09,249.96000
2021-10-10,122.46000
2021-10-11,85.84000
2021-10-12,91.39000
2021-10-13,111.59000
2021-10-14,95.19000
2021-10-15,65.51000
2021-10-16,87.05000
2021-10-17,239.69000
2021-10-18,161.61000
2021-10-19,74.98000
2021-10-20,60.55000
2021-10-21,71.08000
2021-10-22,102.90000
2021-10-23,63.65000
2021-10-24,186.13000
2021-10-25,103.31000
2021-10-26,100.69000
2021-10-27,64.68000
2021-10-28,100.89000
2021-10-29,78.40000
2021-10-30,62.13000
2021-10-31,98.18000
2021-11-01,139.04000
2021-11-02,102.01000
2021-11-03,183.80000
2021-11-04,154.34000
2021-11-05,211.63000
2021-11-06,204.67000
2021-11-07,282.60000
2021-11-08,363.11000
2021-11-09,140.39000
2021-11-10,39.34000
2021-11-11,67.21000
2021-11-12,206.73000
2021-11-13,84.61000
2021-11-14,160.72000
2021-11-15,209.36000
